Data_reportada,Pais,Regiao,Estado,Qtd_Casos
2016-05-07,Brazil,Sul,Parana,2025
2016-05-07,Brazil,Sul,Santa_Catarina,95
2016-05-07,Brazil,Sul,Rio_Grande_do_Sul,311
2016-05-07,Brazil,Centro_Oeste,Mato_Grosso_do_Sul,621
2016-05-07,Brazil,Centro_Oeste,Mato_Grosso,18226
2016-05-07,Brazil,Centro_Oeste,Goias,2604
2016-05-07,Brazil,Centro_Oeste,Distrito_Federal,305
2016-05-14,Brazil,Norte,Rondonia,960
2016-05-14,Brazil,Norte,Acre,823
2016-05-14,Brazil,Norte,Amazonas,2172
2016-05-14,Brazil,Norte,Roraima,79
2016-05-14,Brazil,Norte,Para,1362
2016-05-14,Brazil,Norte,Amapa,122
2016-05-14,Brazil,Norte,Tocantins,2535
2016-05-14,Brazil,Nordeste,Maranhao,2003
2016-05-14,Brazil,Nordeste,Piaui,95
2016-05-14,Brazil,Nordeste,Ceara,887
2016-05-14,Brazil,Nordeste,Rio_Grande_do_Norte,1757
2016-05-14,Brazil,Nordeste,Paraiba,2452
2016-05-14,Brazil,Nordeste,Pernambuco,496
2016-05-14,Brazil,Nordeste,Alagoas,2458
2016-05-14,Brazil,Nordeste,Sergipe,497
2016-05-14,Brazil,Nordeste,Bahia,40420
2016-05-14,Brazil,Sudeste,Minas_Gerais,11237
2016-05-14,Brazil,Sudeste,Espirito_Santo,1918
2016-05-14,Brazil,Sudeste,Rio_de_Janeiro,38196
2016-05-14,Brazil,Sudeste,Sao_Paulo,3452
2016-05-14,Brazil,Sul,Parana,2025
2016-05-14,Brazil,Sul,Santa_Catarina,95
2016-05-14,Brazil,Sul,Rio_Grande_do_Sul,311
2016-05-14,Brazil,Centro_Oeste,Mato_Grosso_do_Sul,621
2016-05-14,Brazil,Centro_Oeste,Mato_Grosso,18226
2016-05-14,Brazil,Centro_Oeste,Goias,2604
2016-05-14,Brazil,Centro_Oeste,Distrito_Federal,305
2016-05-21,Brazil,Norte,Rondonia,974
2016-05-21,Brazil,Norte,Acre,923
2016-05-21,Brazil,Norte,Amazonas,2172
2016-05-21,Brazil,Norte,Roraima,83
2016-05-21,Brazil,Norte,Para,1583
2016-05-21,Brazil,Norte,Amapa,162
2016-05-21,Brazil,Norte,Tocantins,2535
2016-05-21,Brazil,Nordeste,Maranhao,2276
2016-05-21,Brazil,Nordeste,Piaui,148
2016-05-21,Brazil,Nordeste,Ceara,1238
2016-05-21,Brazil,Nordeste,Rio_Grande_do_Norte,1788
2016-05-21,Brazil,Nordeste,Paraiba,2648
2016-05-21,Brazil,Nordeste,Pernambuco,496
2016-05-21,Brazil,Nordeste,Alagoas,2812
2016-05-21,Brazil,Nordeste,Sergipe,499
2016-05-21,Brazil,Nordeste,Bahia,42260
2016-05-21,Brazil,Sudeste,Minas_Gerais,11670
2016-05-21,Brazil,Sudeste,Espirito_Santo,2080
2016-05-21,Brazil,Sudeste,Rio_de_Janeiro,43516
2016-05-21,Brazil,Sudeste,Sao_Paulo,4043
2016-05-21,Brazil,Sul,Parana,2045
2016-05-21,Brazil,Sul,Santa_Catarina,102
2016-05-21,Brazil,Sul,Rio_Grande_do_Sul,344
2016-05-21,Brazil,Centro_Oeste,Mato_Grosso_do_Sul,696
2016-05-21,Brazil,Centro_Oeste,Mato_Grosso,18226
2016-05-21,Brazil,Centro_Oeste,Goias,3217
2016-05-21,Brazil,Centro_Oeste,Distrito_Federal,369
2016-05-28,Brazil,Norte,Rondonia,1032
2016-05-28,Brazil,Norte,Acre,843
2016-05-28,Brazil,Norte,Amazonas,2176
2016-05-28,Brazil,Norte,Roraima,83
2016-05-28,Brazil,Norte,Para,2032
2016-05-28,Brazil,Norte,Amapa,189
2016-05-28,Brazil,Norte,Tocantins,2667
2016-05-28,Brazil,Nordeste,Maranhao,2328
2016-05-28,Brazil,Nordeste,Piaui,217
2016-05-28,Brazil,Nordeste,Ceara,2144
2016-05-28,Brazil,Nordeste,Rio_Grande_do_Norte,2312
2016-05-28,Brazil,Nordeste,Paraiba,2865
2016-05-28,Brazil,Nordeste,Pernambuco,393
2016-05-28,Brazil,Nordeste,Alagoas,3577
2016-05-28,Brazil,Nordeste,Sergipe,490
2016-05-28,Brazil,Nordeste,Bahia,45419
2016-05-28,Brazil,Sudeste,Minas_Gerais,12449
2016-05-28,Brazil,Sudeste,Espirito_Santo,2150
2016-05-28,Brazil,Sudeste,Rio_de_Janeiro,46027
2016-05-28,Brazil,Sudeste,Sao_Paulo,4702
2016-05-28,Brazil,Sul,Parana,2001
2016-05-28,Brazil,Sul,Santa_Catarina,99
2016-05-28,Brazil,Sul,Rio_Grande_do_Sul,363
2016-05-28,Brazil,Centro_Oeste,Mato_Grosso_do_Sul,698
2016-05-28,Brazil,Centro_Oeste,Mato_Grosso,19662
2016-05-28,Brazil,Centro_Oeste,Goias,3954
2016-05-28,Brazil,Centro_Oeste,Distrito_Federal,369
2016-06-11,Brazil,Norte,Rondonia,898
2016-06-11,Brazil,Norte,Acre,846
2016-06-11,Brazil,Norte,Amazonas,3713
